"f <N> <-'en; de; -'s; de> 1. (letter) f 2. (muzieknoot) [G-muz] f, fa "
"f-sleutel <N> <-s; de> f-vqti, fa-vqti, bassivqti "
flaneren <V> <h> flaneerima, << (et end nxidata ja ise ringi vaadata) hulkuma, << (et end nxidata ja ise ringi vaadata) uitama, << (et end nxidata ja ise ringi vaadata) kolama, << (et end nxidata ja ise ringi vaadata) kondama, << (et end nxidata ja ise ringi vaadata) lonkima, ~~ (jalutama, end nxidates ja teisi vaadates) (trots) paradeerima a. flaneren over een straat/promenade/boulevard << (et end nxidata) txnavat/promenaadi/bulvarit pidi lonkima 
"flank <N> <-en; de; mf> 1. (zijkant) kylg, xxr, serv a. de flank van een hogedrukgebied kqrgrqhuala serv b. vol in de flank tihedalt kqrval c. de flank van een berg mxenqlv 2. (kant van een legertroep) tiib, flank a. de vijand in de flank aanvallen [genmil] flankeerima, flanki xhvardama b. links/rechts uit de flank vasakult/paremalt flangilt "
flankeren <V> <h> kylgedelt piirama, kylgedel asetsema, << (kylgedelt) ymbritsema, flankeerima a. geflankeerd worden door lijfwachten << (mqlemalt kyljelt) ihukaitsest ymbritsetud olema b. een weg flankeren << (puude, majade kohta) mqlemal pool teed seisma 
"flankering <N> <-en; de; f> flankeering, flankeerimine "
flansen <V> <h> kokku klopsima, ~~ (ylepeakaela lisama v. kokku seadma) (knoeien) mxtserdama, ~~ (ylepeakaela lisama v. kokku seadma) (knoeien) kxkerdama a. iets in elkaar flansen [mille] ylepeakaela kokku klopsima 
"flap <N> <-pen; de; m> 1. (uitsteeksel) klapp 2. (deel van een boekomslag) << (raamatuymbrisel) klapp, raamatuymbrise siseserv 3. (gebak) pirukas 4. (bankbiljet) [jocular] pangatxht, paberraha "
"flapdrol <N> <-len; de; m/f> [informal, offens] related equivalent idioot "
"flapoor <N> <-ren; het; n> 1. (groot oor) suur kqrv 2. (persoon met grote oren) suurekqrvaline inimene "
flappen <V> <h> plartsatama, virutama a. iets eruit flappen ytlema, mida sylg suhu toob 
"flapuit <N> <-en; de; m/f> [jocular] mulaja, lobiseja, lobasuu, lobamokk "
"flard <N> <-en; de; mf> fragment, related equivalent tykike, riba a. flarden van teksten tekstikatked b. flarden muziek muusikakatked c. aan flarden schieten puruks tulistama d. aan flarden krabben ribadeks kraapima e. flarden van een gesprek opvangen vestlusest katkeid kqrvaga pyydma "
"flashback <N> <-s; de; m> [lit] tagasivaade, >> (in een film, boek) minevikustseen a. in een flashback minevikustseenis "
"flat <N> <-s; de; m> 1. (hoog gebouw) paneelmaja 2. (flatwoning) korter "
"flater <N> <-s; de; m> prohmakas a. een flater slaan prohmakat tegema "
"flatgebouw <N> <-en; het; n> paneelmaja "
flatteren <V> <h> 1. (goed staan) ~~ (riietuse kohta, mingit head kylge tugevdama) (accentueren) esile tqstma, ~~ (riietuse kohta, mingit head kylge tugevdama) (accentueren) toonitama, ~~ (inimesele, riiete kohta) (goed passen) sobima, << (inimest, riiete kohta) kaunistama a. die kleur flatteert je bijzonder see vxrv kaunistab sind eriti 2. (mooier maken dan het is) << (liigselt, valelikult) kaunistama, ilustama, lakeerima, ilusamana paista laskma, ~~ (kaunistavalt, ilustades) (overdrijven) liialdama a. dat verslag flatteert volgens mij de toestand minu arust seab raport asjad soodsamasse valgusse  
"flatteus <A> <adv; mixed> ~~ (riiete kohta) (leuk staand) kaunistav, ~~ (ilustatud, lakeeritud) (overdreven) ylespuhutud, ~~ (riiete kohta) (leuk staand) hxsti sobiv a. een flatteuze jurk hxsti sobiv kleit b. in flatteuze bewoordingen tegelikkust kaunistavas sqnastuses "
"flauw <A> <adv; -er/-st> 1. (zwak) nqder, nqrk, << (nqrk) vilets a. een flauwe bocht lame/lausk kurv b. een flauwe helling kerge kallak c. flauw zijn van de honger nxljast nqrkenud olema d. een flauw verlichte gang viletsa valgustusega kxik e. geen flauw benul van iets hebben hebben [kellel] pole [millest] qrna aimugi  2. (zouteloos) nqder a. een flauwe grap nqder nali, lame nali b. doe niet zo flauw! related equivalent lqpeta jama!, jxta need totrused jxrele! 3. (smaakloos) lxxge a. een flauwe smaak lxxge maitse  b. flauwe soep lxxge supp  "
"flauwekul <N> <-; de; m> [informal] jama a. wat een flauwekul! milline jama! "
"flauwerd <N> <-s; de; m/f> [informal] tobe "
"flauwerik <N> <-ken; de; m/f> [informal] tobe, argpyks "
"flauwiteit <N> <-en; de; f> nqtrus, nali, vemp "
"flauwte <N> <-n; de; f; -s> minestus a. een flauwte krijgen minestusse langema, xra minestama "
flauwtjes <Adv> 1. (zonder veel intensiteit) >> (krachteloos, zwak) jquetu, >> (zwak, krachteloos) raugelt, >> (krachteloos, zwak, lusteloos, onverschillig) loiult, >> (enigszins) kergelt, >> (enigszins) mqneti a. flauwtjes glimlachen raugelt naeratama b. bloemperken die de kleuren van de Belgische vlag flauwtjes benaderen lillepeenrad, mille toonid meenutavad kergelt Belgia lipu vxrve 2. (zonder veel smaak) magedavqitu, lahjavqitu 
"flauwvallen <V> <z; sch; viel flauw; flauwgevallen; other> teadvuse/meelemxrkuse kaotama, meelemxrkuse kaotama "
"flegma <N> <-; het; n> [fil] flegma "
"flegmatiek <A> <adv; -er/-st> flegmaatiline "
"flegmatisch <A> <adv; mixed> flegmaatiline a. een flegmatisch temperament flegmaatiline temperament "
flemen <V> <h> [pejor] << (tallalakkuja olema) pugema 
"flensje <N> <-s; het; n> << (qhuke) pannkook "
"fles <N> <-sen; de; m> >> (met een lange, dunne hals) pudel, >> (met een korte, brede hals) purk a. een fles wijn pudelitxis veini b. een lege fles tyhi pudel c. aan de fles zijn [informal] pudelisse vaatama, pudeli pqhja vaatama d. naar de fles grijpen [informal] pudeli jxrele haarama e. op de fles gaan [informal] pankrotti minema f. op de fles zijn pankrotis olema g. een kind de fles geven lapsele pudelit andma "
"flesopener <N> <-s; de; m> << (hrl. metallist korkide) avaja, pudeliavaja "
flessen <V> <h> 1. (oplichten) [informal] petma, alt vedama 2. (buizen) [informal, belg] lxbi kukutama 
"flessenscheepje <N> <-s; het; n> laev pudelis "
"flessentrekker <N> <-s; de; m/f> [informal, offens] pettur, petis "
"flesvoeding <N> <-en; de> pudelitoit "
"flets <A> <adv; -er/-st> kahvatu a. een flets zonnetje kahvatu pxike b. fletse kleuren kahvatud vxrvid c. er flets uitzien kahvatu olema d. zijn ogen staan flets ta silmad on txiesti tuhmid/elutud, ta silmis pole mingit sxra "
"fleur <N> <-; de; mf> << (fig.) vxrv a. fleur en kleur geven aan iets [millele] vxrvi andma "
"fleurig <A> <adv; -er/-st> 1. (vrolijk) rqqmsameelne, helge, rqqmus a. een fleurig gezicht rqqmus pilt 2. (kleurig) rqqmsavxrviline, >> (bont) vxrvikirev a. een fleurige jurk/stropdas rqqmsavxrviline kleit/lips b. een fleurige bos bloemen vxrvikirev lillekimp "
"flexibel <A> <adv; -er/-st> 1. (soepel) paindlik, >> (buigzaam) painduv, >> (veerkrachtig) elastne, >> (buigzaam) painutatav a. flexibel materiaal elastne materjal 2. (veranderbaar) paindlik, >> (toegeeflijk) jxreleandlik, << (in staat zich aan te passen) kohanemisvqimeline a. flexibele werktijden paindlik graafik b. een flexibel karakter kohanemisvqimeline iseloom c. flexibel inzetbaar vajadust mccda rakendatav, tccle kutsutav "
"flexibilisering <N> <-; de; f> fleksibiliseerimine "
"flexibiliteit <N> <-; de; f> paindlikkus a. een gebrek aan flexibiliteit paindlikkuse puudus "
"flexie <N> <-s; de; f> [taalk] fleksioon "
"flierefluiter <N> <-s; de; m/f> [informal] logard, elunautija "
"flik <N> <-ken; de; m> 1. (chocolaatje) swokolaadinccp 2. (politieagent) [informal, pejor, neolog, belg] << (isik) politsei, politseinik "
flikflooien <V> <h> 1. (flemen) >> (tallalakkuja olema) pugema 2. (aanhalen) kxperdama a. (zitten te) flikflooien met iemand [kellele] kxpad kallale/kylge panema/lccma, [kellele] kxsitsi ligi tikkuma, [kellele] kxsi kylge ajama 
flikken <V> <h> orkunnima, << (ebameeldival moel) jutti ajama a. dat had hij me niet moeten flikken seda tuleb tal veel kahetseda, kyll ma talle alles nxitan!, kyll ma teda veel qpetan!, selle eest ta veel saab!, related equivalent oodaku vaid! b. dat flik je me niet nog eens! [informal] kyll sa teinekord mqtled, enne kui mulle sellise kxki kokku keerad! 
"flikker <N> <-s; de; m> 1. (homo) [slang, pejor] homo, lilla 2. (donder) a. geen flikker [slang] mitte mqhkugi b. op je flikker krijgen [informal] tuuseldada saama c. iemand op zijn flikker geven [slang] [kellele] kere/naha peale andma, [kelle] lxbi tuuseldama "
flikkeren 1 <V> <h> 1. (kieperen) [informal] virutama, >> (neer, op grond) maha virutama a. als je nog lang blijft zeuren, flikker ik je in die plas kui sa veel kaua vingud, virutan ma su sinna poriloiku pikali 
flikkeren 2 <V> <h> 1. (onrustig branden) vilkuma a. de sterren flikkerden aan het firmament taevakummil vilkusid txhed 
"flikkering <N> <-en; de; f> 1. (onrustig geflits van (zwak) licht) related equivalent sxhvatus, related equivalent vxlgatus, related equivalent vilksatus 2. (kleine hoeveelheid, sprankel) vxlgatus, sxde a. een flikkering van hoop lootusesxde "
"flink <A> <adv; -er/-st> 1. (fors) kqva, tugev, tubli, korralik, suur, ~~ (tunnustavalt) (als bijwoord) parajalt a. een flinke hap/slok tubli suutxis/lonks b. een 'flinke lap'/'flink stuk' grond korralik (maa)tykk, tubli tykk maad c. een flink pak slaag kqva keretxis d. een flinke eter kqva sccja e. er flink tegenaan gaan asja tublisti kxsile vqtma, asjal otsustavalt sarvist haarama f. flink groeien kqvasti kasvama g. flink veel >> (van ontelbare eenheden) tubli tykk h. iemand er flink van langs geven [kellele] paraja tou panema, [kellele] tugeva kqrvakiilu andma i. flink doorlopen/dooreten jqudsalt edasi sammuma/sccma j. iemand (eens) flink de waarheid zeggen [kellele] tqde nxkku ytlema 2. (moedig) kqva, >> (dapper) sydi, ~~ (tarmukas) (wat agressief, standvastig) xge, tarmukas, >> (veel lef hebbend) scakas a. een flinke vent kqva kutt b. een flinke meid scakas plika c. zich flink gedragen tarmukalt kxituma d. nounou, flink hoor! irooniliselt celdud: jajah, oled sina aga kqva kuju, tqesti-tqesti "
"flinkerd <N> <-s; de; m/f> [informal] >> uljaspea "
"flinter <N> <-s; de; m> pilbas a. een flintertje hout puupilbas "
"flip-over <N> <-s; de; m> toendile kinnitatud hiiglasuur kirjutusplokk, millele loengupidaja kirjutab "
"flipper <N> <-s; de; m> 1. (dolfijn) [informal, jocular] delfiin 2. (zwemvlies) [informal] ujumislest, lest "
"flipperkast <N> <-en; de; mf> pinballi masin "
"flirt 1 <N> <-en; de; mf> 1. (iemand die van flirten houdt) flirtija, vqrgutaja "
"flirt 2 <N> <-s; de; m> 1. (speelse hofmakerij) flirt "
flirten <V> <h> flirtima, tiiba ripsutama, kurameerima a. flirten met iemand [kellega] flirtima b. flirten met iets [millega] tiiba ripsutama, pahelistest ja tylgastavatest asjadest kasu lqigata yritama, kahtlaste instantside poolehoidu pyydma vqita 
"flits <N> <-en; de; m> 1. (fel licht) vxlk, sxhvatus a. na de flits hoor je de donder vxlgusxhvatuse jxrel on kuulda myristamist b. een felle flits deed de zon verbleken silmipimestav sxhvatus pani pxikesegi kahvatuma 2. (kort moment) vxlgatus, hetk a. in een flits vxlgatusena, yhe hetkega "
flitsen 1 <V> <h> 1. (m.b.t. fotografie) << (vxlklambiga) pildistama a. een automobilist flitsen autojuhti vxlkalambiga pildistama 
flitsen 2 <V> <h> 1. (naaktlopen) txnaval alasti jooksma 
flitsen 3 <V> <hz> 1. (m.b.t. licht) vilgutama a. een tegenligger flitste met zijn lichten vastusqitev auto vilgutas oma tuledega 
flitsen 4 <V> <z> 1. (schieten) vilksatama, vxlgatama a. je kon die renner nog net door het beeld zien flitsen jooksja vilksatas vaid korraks pildis/'kaamera eest lxbi' b. door het hoofd flitsen peast lxbi vxlgatama 
"flitsend <A> <adv; mixed; prespa> trendikas a. een flitsend jasje/imago trendikas jakk/imidzw "
"flitser <N> <-s; de; m> vilkur "
"flitslamp <N> <-en; de; mf> vxlklamp "
"flitslicht <N> <-en; het; n> 1. (flitser op fotocamera) vxlklamp 2. (soort van verlichting) >> (voor schepen) plinktuli, >> (voor schepen) vilktuli, vilkuv valguseallikas "
"flodder <N> <-s; de; m> 1. (geweerpatroon) [informal, sold] padrun a. losse flodder [sold] >> (lett.) tyhi padrun b. een losse flodder >> (fig.) tyhi plxma, tyhi jutt 2. (los kledingstuk) hqlst, kalts, lotendav ja viledast riidest riietusese a. ze droeg maar wat flodders aan haar lijf "
flodderen 1 <V> <h> 1. (flikflooien) [informal, belg] kxperdama, ligi tikkuma, kxsi/kxtt kylge ajama 
flodderen 2 <V> <h> 1. (lubberen) lotendama 2. (prutsen) kxkerdama, lohakalt tcctama, >> (knoeien) mxtserdama 
"flodderjurk <N> <-en; de; mf> [informal] lotendav seelik "
floepen <V> <z> libisema, lipsama a. uit je handen floepen kxest lipsama 
"floers <N> <-en; het; n> loor a. er hangt een floers over seda varjas saladuskate b. een floers van tranen pisaraloor "
flonkeren <V> <h> << (sooja, tumeda helgiga) helkima, ~~ (ebayhtlast valgust heitma) (zacht, aanhoudend licht geven) kumama a. de kaarsen flonkerden en de tafels waren feestelijk gedekt kyynlad heitsid sooja valgust ja lauad olid pidulikult kaetud 
"flonkering <N> <-en; de; f> sxra, sxtendus, hiilgus a. de flonkering van een edelsteen vxxriskivi sxtendus b. de flonkering van de sterren txhesxra "
"flop 1 <N> <-s; de; m> 1. (fiasco) related equivalent luhtumine, related equivalent nurjumine, related equivalent fiasko, related equivalent jama, related equivalent luhtaminek, lxbikukkumine a. het is op een grote flop uitgedraaid related equivalent see lqppes metsiku jamaga, see kukkus txiesti lxbi b. een grandioze flop txielik ebaqnnestumine c. wat een flop! milline fiasko! "
"flop 2 <N> <-pies; de; m> 1. (computerdiskette) [informal] diskett, ketas "
floppen <V> <z> lxbi kukkuma, ebaqnnestuma a. zijn laatste cd/boek/theaterproductie is volledig geflopt tema viimane !cd/raamat/teatrietendus oli txielik lxbikukkumine 
"floppydisk <N> <- disks; de; m> diskett, ketas "
"flora 1 <N> <-'s; de; mf> 1. (plantenwereld) floora a. flora en fauna floora ja fauna b. rijke flora rikkalik floora "
"flora 2 <N> <-; de; mf> 1. (plantenboek) floora "
"Florence <N> <-; -; n> Firenze "
"Florentijn <N> <-en; de; m> firenzelane "
floreren <V> <h> qilmitsema, edenema, >> (zich ontwikkelen) arenema a. 'het bedrijf'/'de verkoop'  floreert ettevqte/myyk edeneb b. een florerend bedrijf hxsti minev ettevqte 
"florijn <N> <-en; de; m> [oldfash] floriin, kulden "
"florissant <A> <adv; -er/-st> roosiline, qitsev, hxsti edenev, >> (veelbelovend) paljulubav, >> (veelbelovend) paljutqotav a. een florissante toekomst roosiline tulevik b. er florissant uitzien paljutqotav(ana) tunduma c. het staat er niet florissant voor tulevik ei paista just roosiline "
"floss <N> <-; de; m> floss, vahatatud hambaniit "
flossen <V> <h> vahaniidiga hambaid puhastama  
"flottielje <N> <-s; de; mf> [scheep, rare] flotill "
"flox <N> <-; de; m> floks, leeklill "
"fluctuatie <N> <-s; de; f> [formal] fluktuatsioon, kqikumine "
fluctueren <V> <h> kqikuma, fluktueerima, keskvxxrtuse ymber kqikuma 
"fluim <N> <-en; de; mf> rcga a. fluimen opgeven/ophoesten rcga vxlja kchima "
"fluisteraar <N> <-s; de; m/f> sosistaja "
"fluisterasfalt <N> <-; het; n> [neolog] vaikset sqitu vqimaldav asfalt "
"fluistercampagne <N> <-s; de; mf> 1. (geheime propaganda-actie) salateid pidi levitatav informatsioon mingi konkreetse eesmxrgi saavutamiseks, salakampaania 2. (achterbakse kwaadsprekerij) << (tagaselja peetav) laimukampaania "
fluisteren <V> <h> sosistama a. fluisteren tegen/tot iemand [kellele] sosistama b. ze fluisterde dat we niet te veel lawaai mochten maken ta sosistas, et me ei tohi nii hirmsat kxra teha c. hij fluisterde me toe dat hij me graag zag ta sosistas mulle, et talle meeldib minuga kohtuda 
"fluisterstem <N> <-men; de; mf> sosin a. iets vertellen met een fluisterstem [mida] sosinal jutustama "
"fluit <N> <-en; de; mf> 1. (blaasinstrument) flcct a. fluit spelen flccti mxngima b. op de fluit spelen flccdil mxngima 2. (signaalinstrument) vile a. de fluit van de scheidsrechter/politieagent >> (van de politieagent) politseivile, >> (van de scheidsrechter) kohtunikuvile b. op een fluit blazen << (vilega) vilistama, vilet puhuma 3. (penis) [informal] << (suguti) till a. dat kan me geen fluit schelen related equivalent mul pole sellest sooja ega kylma, ma vilistan sellele 4. (langwerpig glas) qlle- vqi swampuseklaas 5. (langwerpig hol brood) [cul] piklik qqnes leib/sepik/sai 6. (geluid) [muz] vile "
"fluitconcert <N> <-en; het; n> 1. (muziekstuk met fluitsolo) flccdikontsert 2. (afkeurend gefluit) vilekontsert "
"fluiten <V> <h; floot; gefloten; strong> 1. (met de lippen) vilistama a. op de vingers fluiten sqrmede abil vilistama b. het ontevreden publiek begon luid te fluiten rahulolematu publik hakkas kqrvulukustavalt vilistama c. hij was altijd opgewekt aan het fluiten als hij door de straten wandelde txnaval kqndides vilistas ta alati rqqmsat viisijuppi 2. (fluit spelen) flccti mxngima 3. (op een fluitje blazen) (vilepillil) vilistama, >> (een signaal geven, bijv. met een politiefluitje) vilet puhuma a. ergens naar kunnen fluiten [mille] peale vilistada vqima, [millest] oma suu puhtaks pyhkida vqima b. daar kan je nu wel naar fluiten! selle peale vqid kyll vilistada!, sellest vqid kyll oma suu puhtaks pyhkida! c. fluiten voor buitenpel suluseisu vilistama 4. (scheidsrechter zijn) spordivqistlusel kohtunikuks olema 5. (van vogels) laulma, vilistama a. de zon schijnt en de vogeltjes zitten vrolijk te fluiten in de tuin pxike paistab ja linnukesed laulavad aias "
"fluitenkruid <N> <-; het; n> mets-harakputk "
"fluitist <N> <-en; de; m/f> flctist "
"fluitiste <N> <-s; de; f> << (naissoost) flctist "
"fluitje <N> <-s; het; n> vile a. een fluitje van een cent lapsemxng "
"fluitketel <N> <-s; de; m> vilistav teekann "
"fluitsignaal <N> <-len; het; n> vilesignaal "
"fluor <N> <-; het; n> fluor "
fluoresceren <V> <h> fluorestseerima, << (fluorestsentsi ilmutama) helendama a. fluorescerende wijzers op een wekker xratuskella helendavad osutid 
"fluoride <N> <-n; het; n; -s> fluoriid "
"flut <A> <nonadv; ncompar; pred; nondeclin> [informal] << (vxxrtusetu, tyhise asja kohta) jama, << (vxxrtusetu, tyhise asja kohta) totter "
"fluweel <N> <-len; het; n> samet "
fluwelen <A> <nonadv> samet-, sametist, sametine a. een fluwelen zitting sametist istekate b. de Fluwelen Revolutie sametrevolutsioon c. iemand met fluwelen handschoenen aanpakken [keda] siidkinnastega kohtlema 
"fnuikend <A> <nonadv; -er/-st; prespa> saatuslik, hxvitav, << (hxvitav) katastroofiline a. fnuikend zijn voor iets [mille] lqppu txhendama "
"fobie <N> <-ân; de; m/f> foobia a. een fobie voor spinnen foobia xmblike vastu "
"focus <N> <-sen; de/het  o; mn> fookus a. een scherpe focus txhelepanu kese b. met de focus op peatxhelepanuga [millel] c. de focus richten op [millele] fokuseerima "
focussen <V> <h> fookustama a. focussen op iets/iemand [mida]/[keda] fookustama, [mille]/[kelle] fookusse vqtma 
"foedraal <N> <-len; het; n> 1. (hard omhulsel) hylss, tupp, << (kqva) ymbris, related equivalent kest, related equivalent kapsel, related equivalent toos, related equivalent karp, tasku, related equivalent etyi 2. (hoes) << (pehme) vutlar, << (pehme) ymbris, related equivalent tasku, kott, related equivalent kate "
"foefje <N> <-s; het; n> [informal] nipp, knihv a. een foefje om ergens achter te komen [mille] jxlile saamiseks kasutatav nipp b. technische foefjes tehnilised nipid "
foei <int> fuih, fui 
"foelie <N> <-s; de> muskaatqis "
"foerage <N> <-; de; f> 1. (veevoer) loomascct, << (loomale) scct, furaazw 2. (voedsel voor mensen) [jocular] toitlustamine "
foerageren <V> <h> furazweerima, << (loomade, lindude kohta) toitu hankima 
"foerier <N> <-s; de; m/f> [mil] kortermeister, varustusylem "
foeteren <V> <h> >> (binnensmonds) torisema, >> (kwaad worden) pahandama, >> (boos worden) qiendama, >> (vloekend) siunama, >> (vloekend) kiruma a. foeteren op iemand [kellega]/'[kelle] kallal' torisema 
"foetsie <A> <nonadv; ncompar; pred; nondeclin> [informal] lxnnu, kadund "
"foetus <N> <-sen; de/het  n; mn> fcctus "
"fîhn <N> <-s; de; m; -en> 1. (haardroogapparaat) fccn 2. (alpenwind) fccn "
"fok 1 <N> <-ken; de; mf> 1. (zeil) fokk, eespuri "
"fok 2 <N> <-; de; m> 1. (het fokken) << (looma-) kasvatus, << (looma-) aretus "
"fokhengst <N> <-en; de; m> tqutxkk "
fokken <V> <h> ~~ (loomi, ka aretama) (grootbrengen) kasvatama, ~~ (loomi, ka aretama) (grootbrengen, houden) pidama, ~~ (loomi, ka kasvatama) (voorttelen) aretama a. paarden/honden/geiten fokken hobuseid/koeri/kitsi kasvatama 
"fokkenist <N> <-en; de; m/f> lihtmadrus "
"fokkenmaat <N> <-s; de; m/f> lihtmadrus "
"fokkenmast <N> <-en; de> [scheep] fokkmast "
"fokkenra <N> <-'s; de> [scheep] fokkraa "
"fokker <N> <-s; de; m/f> << (loomade) aretaja, << (loomade) kasvataja "
"folder <N> <-s; de; m> voldik a. een folder verspreiden voldikut levitama "
"foliant <N> <-en; de; mf> [drukkunst] foliant "
"folie <N> <-; de/het  n; mn> foolia "
"folk <N> <-; de; mf> folkmuusika, folk "
"folklore <N> <-; de; mf> folkloor "
"follow-up <N> <-s; de; m> jxrg "
folteren <V> <h> piinama a. iemand zwaar folteren [keda] julmalt/metsikult piinama 
"foltering <N> <-en; de; m> piinamine a. zich schuldig maken aan foltering ennast piinamises syydi tunnistama b. foltering ondergaan piinamise osaliseks saama c. aan foltering onderworpen/blootgesteld worden piinamise ohvriks langema "
"fondant <N> <-; de/het  n; mn> fondant "
"fonds <N> <-en; het; n> 1. (geld voor een bepaald doel) fond 2. (beheerinstituut van gelden) fond 3. (waardepapier) [geldw] aktsia, fond 4. (de boeken van een uitgever) [lit] fond "
"fondsbestuur <N> <-ren; het; n> fondijuhatus "
"fondsenwerving <N> <-en; de; f> rahakorjandus "
"fondue <N> <-s; de; mf> fondyy "
"foneem <N> <-men; het; n> [taalk] foneem "
"foneticus <N> <fonetici; de; m/f> [taalk] foneetik "
"fonetiek <N> <-; de; f> [wetenschap] foneetika a. articulatorische fonetiek [taalk] artikulatoorne foneetika b. akoestische fonetiek [taalk] akustiline foneetika "
"fonetisch <A> <adv; ncompar> foneetiline "
fonkelen <V> <h> sxtendama, sxrama a. op de ring aan haar vinger fonkelde een kleine diamant ta sqrmes oleval sqrmusel sxras vxike teemant b. zijn ogen fonkelden van woede ta silmad olid vihast pqlemas 
"fonkeling <N> <-en; de; m> related equivalent sxra, related equivalent sxtendus "
"fonkelnieuw <A> <nonadv; ncompar> uhiuus "
"fonologie <N> <-; de; f> [taalk] fonoloogia "
"fonologisch <A> <adv; ncompar> [taalk] fonoloogiline "
"fonoloog <N> <-gen; de; m/f> [taalk] fonoloog "
"fontanel <N> <-len; de; mf> fontanell, lqge "
"fontein <N> <-en; de; mf> 1. (kunstmatige bron) purskkaev 2. (opspuitende substantie) >> (van water) veejuga, juga "
"fonteintje <N> <-s; het; n> 1. (wasbakje) valamu, kraanikauss 2. (drinkflesje voor vogels) puurilindude jooginqu "
"fooi <N> <-en; de; mf> 1. (kleine geldelijke vergoeding) jootraha a. een fooi geven jootraha andma b. een fooi aannemen jootraha vastu vqtma c. een fooi opstrijken jootraha kokku kraapima d. een kleine/krappe fooi vxike/kasin jootraha e. een mooie/flinke/ruime fooi paras/tubli/rikkalik jootraha 2. (te klein geldbedrag) sandikopikas a. ze verdient maar een fooi ta tcctab sandikopikate eest b. dat is een fooi! need on ju sandikopikad! "
"foor <N> <-ren; de; mf> 1. (kermis) [informal, belg] laat 2. (handelsbeurs) [informal, oldfash, belg] laat "
foppen <V> <h> << (syytu nalja lxbi) tyssama, << (syytu nalja lxbi) petma, vingerpussi tegema/mxngima a. gefopt! hyytakse hetkel, mil vingerpuss on qnnestunud 
"fopperij <N> <-en; de; f> [oldfash] nahanylgimine, petukaup, petuvxrk, naha yle kqrvade tqmbamine a. dat is fopperij zonder einde see on puhas petuvxrk "
"fopspeen <N> <-; de; mf> 1. (kunstspeen voor kinderen) lutt 2. (zoethoudertje) prxxnik, related equivalent platseebo "
forceren 1 <V> <h> 1. (van deuren of sloten) << (lukku, ust) purustama, << (lukku, ust) lahti murdma a. de achterdeur forceren tagaukse lahti murdma b. een slot forceren luku lahti murdma 2. (afdwingen) >> (doordrijven) lxbi suruma, >> (dwingen) sundima, ~~ (liigselt millegi loomulikku kulgu) (bespoedigen) kiirendama, ~~ (millegi lxbisurumisega) (overdrijven) yle pingutama, ~~ (valesid vahendeid, jqumeetodeid kasutades) (versnellen, doordrijven) tagant kihutama, ~~ (valesid vahendeid, jqumeetodeid kasutades) (versnellen, proberen te stimuleren/dwingen) tagant torkima, ~~ (yle pingutama, jqumeetodi varal saavutama) (met geweld) vxgistama, jquga pyydma [mida] saavutada, >> (druk uitoefenen) survet avaldama a. kansen forceren << (nende eest vqideldes, oma tahtmist lxbi surudes) uusi vqimalusi looma/tekitama b. een doorbraak forceren lxbimurret kiirendama c. iemand tot iets forceren [keda] seni sundima, kuni see [mida] teeb 3. (stukmaken) << (mingit mehhanismi, lqhkudes) yle koormama a. een machine forceren masina lqhkuma seda yle koormates 
"forceren 2 <V> <h; oblreflex> 1. (over je toeren gaan) yle pingutama a. zich forceren bij iets '[mida] tehes'/'[mille] juures' yle pingutama, '[mida] tehes'/'[mille] juures' endale hxda tegema "
"forehand <N> <-s; de; mf> eeskxelcck, eeskxsi a. een sterke forehand tugev eeskxsi "
"forel <N> <-len; de; mf> forell "
"forellenkwekerij <N> <-een; de; f> forellikasvandus, forellimajand "
"forens <N> <-en; de; m/f; -zen> << (tcckoha ja kodu vahel) pendeldaja "
forenzen <V> <h> << (tcckoha ja kodu vahel) pendeldama 
"forfaitair <A> <adv; ncompar> eelnevalt 'kokku lepitud'/'kindlaks mxxratud' a. forfaitaire vergoeding/aftrek eelnevalt kokkulepitud/kindlaksmxxratud hyvitus/mahaarvamine "
"formaat <N> <-ten; het; n> formaat a. van uitzonderlijk formaat ebastandardse formaadiga b. op groot formaat suures formaadis c. A4-formaat A4 formaat d. een speler van groot formaat suurekaliibriline mxngija "
formaliseren <V> <h> formaliseerima 
"formaliteit <N> <-en; de; f> formaalsus a. zonder verdere formaliteiten pikemate formaalsusteta, (ilma) pikema tseremooniata b. aan de nodige formaliteiten voldoen related equivalent vastama vajalikele vorminquetele c. formaliteiten vervullen formaalsusi txitma, formaalsused lxbi tegema d. de vereiste formaliteiten asja juurde kuuluvad formaalsused e. de formaliteiten in acht nemen formaalsusi jxlgima, ettekirjutuste kohaselt kxituma f. de voorgeschreven formaliteiten ettekirjutused g. voor de formaliteit pro forma h. dat is louter/slechts/'alleen maar' een formaliteit see on ainult formaalsus, see on ainunlt vormi pxrast "
"formateur <N> <-s; de; m/f> valitsuse moodustaja "
"formatie <N> <-s; de; f> 1. (groeperingsmanier) rivi a. in formatie rivis 2. (groep mensen) formeering 3. (kabinetsvorming) << (kabineti) moodustamine "
"formatieplaats <N> <-en; de; mf> pqhitcckoht "
"formatievlucht <N> <-en; de; mf> rivilend "
formatteren <V> <h> [computer] formaatima 
